id,title,description,thumbnail,url,tags,department,status
56,Follet Destiny Question Bank - Bio / Chem / Physics,,,,,Science,Active (Purchased)
57,Follet Destiny Question Bank - ESS,,,,,Science,Active (Purchased)
58,Follet Destiny Question Bank - History,,,,,I&S,Active (Purchased)
59,Follet Destiny Question Bank - Mathematics,,,,,Mathematics,Active (Purchased)
60,Follet Destiny Question Bank - Psychology,,,,,I&S,Active (Purchased)
61,Follet Destiny Question Bank - Sports Exercise,,,,,PHE,Active (Purchased)
62,Follet Destiny Question Bank: Business and Economics Pack,,,,,I&S,Active (Purchased)
63,Follett Destiny Library,,,,,Secondary Library,Active (Purchased)
64,Foreign Affairs,,,,,I&S,Active (Purchased)
65,Frenchteacher.net,,,,,LAQ,Active (Purchased)
66,Gale Database - Gale in Context: Global Issues,,,,,Secondary Library,Active (Purchased)
67,Gale Database - Gale In Context: Middle School,,,,,Secondary Library,Active (Purchased)
68,Gale in Context: Science,,,,,Secondary Library,Active (Purchased)
69,Gizmos,,,,,Science,Active (Purchased)
70,Google Earth,Gain a new perspective,https://drive.google.com/thumbnail?id=1RmMTO9NnCEUMkVdIMC9-GbR5CXiVxJ8s&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/google-earth/id293622097,Geography; Maps,Primary;I&S,Active (Free)
71,Google Maps,"GPS, City Navigation & Traffic",https://drive.google.com/thumbnail?id=1ddYRqgqpEGAcy9tHj1zTc4mALplBHZWG&sz=w{{130}}-h{{130}},https://apps.apple.com/mz/app/google-maps-transit-food/id585027354,Geography; Maps,Primary;I&S,Active (Free)
72,Google Sheets,"Open, Edit & Share Spreadsheet",https://drive.google.com/thumbnail?id=1-PamuTlt1HZJ9bwKQJY58WGIAO8Al00U&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/google-sheets/id842849113,Data Handling,Primary;Mathematics,Active (Free)
73,Google Street View,Explore the world in 360 imagery,https://drive.google.com/thumbnail?id=1pOR8yY8KdD6q9q5zcWPj5Bmkr49Isbi6&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/google-street-view/id904418768,Geography; Maps,Primary;I&S,Active (Free)
74,Goosechase EDU,,,,,Secondary Library,Active (Purchased)
75,GradeScope (Grades 6-12),,,,,Secondary Library,Expired
76,Green Screen by Do Ink,Create to show what you know!,https://drive.google.com/thumbnail?id=1wkrcmF9cpAbIu1vhYw_KFBnLkCK9Mkmx&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/green-screen-by-do-ink/id730091131,Video,Primary,Expired
77,Harvard Business Review,,,,,I&S,Active (Purchased)
78,Heyzine,,,,,Communications,Active (Purchased)
79,Hodder Economic Review eLibrary,,,,,I&S,Active (Purchased)
80,Hodder Psychology Review eLibrary,,,,,I&S,Active (Purchased)
81,i-Muscle,,,,,PHE,Active (Purchased)
82,IB Business Management Paper 3 (HL only) Exams Pack,,,,,I&S,Being Purchased
83,IB English Guys,,,,,L&L,Being Purchased
84,IB Taskmaker,,,,,Mathematics,Active (Purchased)
85,IBBusinessManagement.COM - Vibe Education,,,,,I&S,Being Purchased
86,Illini - French,,,,,LAQ,Active (Purchased)
87,iMovie,Turn videos into movie magic,https://drive.google.com/thumbnail?id=1tfdxiHwUUflmcFr2qRL9sL7T9l30SwQH&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/imovie/id377298193,Video,Primary,Active (Free)
88,Infobase: CredoSource - Addon,,,,,Secondary Library,Expired
89,Infobase: Science and Modern World History,,,,,Secondary Library,Active (Purchased)
90,Insert Learning,,,,,LAQ,Being Purchased
91,International Association for College Admission Counseling (IACAC),,,,,College Counselor,Active (Purchased)
92,Inthinking - MYP L&L Resources,,,,,L&L,Active (Purchased)
93,Inthinking DP English A,,,,,L&L,Active (Purchased)
94,Inthinking French B,,,,,LAQ,Active (Purchased)
95,Inthinking Maths A&A,,,,,Mathematics,Active (Purchased)
96,Inthinking Maths A&I,,,,,Mathematics,Active (Purchased)
97,Inthinking Spanish AB Ignito,,,,,LAQ,Active (Purchased)
98,Inthinking Spanish B,,,,,LAQ,Active (Purchased)
99,Inthinking Spanish MYP,,,,,LAQ,Active (Purchased)
100,InThinking: Biology,,,,,Science,Active (Purchased)
101,Inthinking: Business Management,,,,,I&S,Active (Purchased)
102,InThinking: Chemistry,,,,,Science,Active (Purchased)
103,InThinking: Computer Science,,,,,Design,Being Purchased
104,InThinking: Design,,,,,Design,Being Purchased
105,Inthinking: Economics,,,,,I&S,Active (Purchased)
106,InThinking: ESS,,,,,Science,Active (Purchased)
107,InThinking: Global Politics,,,,,I&S,Active (Purchased)
108,Inthinking: History,,,,,I&S,Active (Purchased)
109,InThinking: Physics,,,,,Science,Active (Purchased)
110,InThinking: Psychology,,,,,I&S,Active (Purchased)
111,Inthinking: Visual Arts,,,,,Visual Arts,Active (Purchased)
112,IXL,Maths Learning on the go,https://drive.google.com/thumbnail?id=1zw9f8ahqwr7fRFS-Rd3slHl7tZP0tdX-&sz=w{{130}}-h{{130}},https://apps.apple.com/mw/app/ixl-maths-and-english/id693689912,Mathematics,Primary;Mathematics,Active (Purchased)
113,IXL Maths,,,,,Primary,Active (Purchased)
114,Jeopardy Labs,,,,,LAQ,Being Purchased
115,JSTOR,,,,,Secondary Library,Active (Purchased)
116,Junior Safesearch,Child friendly search engine for the iPad,https://drive.google.com/thumbnail?id=1m8qcFNhQn-j7vOcyZy2tb_di7wPEGNR4&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/junior-search/id1063011792,UOI; Search,Primary,Expired
117,Kahoot,Play & Create Quizzes,https://drive.google.com/thumbnail?id=1jz-aB0CwF0LXAUZJ7-3UdTKDep3mmQ35&sz=w{{130}}-h{{130}},https://apps.apple.com/app/kahoot-play-create-quizzes/id1131203560,Quiz,Primary,Active (Free)
118,Kami,,,,,LAQ,Being Purchased
119,Kids A-Z,Leveled Reading Books,https://drive.google.com/thumbnail?id=1EhgrbLT3hpXsCp8alB6mRAd1nNDZWydu&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/kids-a-z/id474207297,Reading,Primary,Active (Purchased)
120,Kodable,Coding for Early Years,https://drive.google.com/thumbnail?id=1WQSDQaSKvFJsPagnSieea5jehSDlB2sG&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/kodable/id577673067,Coding,Early Years,Active (Free)
121,LabQuest Mini (Model 2),,,,,PHE,Being Purchased
122,Labster,,,,,Science,Expired
123,LAC,,,,,Whole School,Active (Purchased)
124,Language gym,,,,,LAQ,Active (Purchased)
125,Learning A-Z: Raz Kids,,,,,Primary,Active (Purchased)
126,Learning A-Z: Raz Plus,,,,,Primary,Active (Purchased)
127,"Level 7 Business Management Pack of units 1,2,3,4,5",,,,,I&S,Active (Purchased)
128,Level 7 Education Case study Paper 1 (By Paul Hoang),,,,,I&S,Active (Purchased)
129,Light Burn,,,,,Design,Active (Purchased)
130,Linguascope,,,,,Primary,Being Purchased
131,Litchart A+,,,,,L&L,Active (Purchased)
132,Logic Pro,,,,,Performing Arts,Active (Purchased)
133,Magic School AI,,,,,Primary,Expired
134,Managebac,,,,,Whole School,Active (Purchased)
135,Managebac Passport,,,,,High School,Active (Purchased)
136,MotionBook,Best Flipbook Animation Maker,https://drive.google.com/thumbnail?id=1p4_odPzBN9tlhsyjg2L_NJuUvDEz4P13&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/motionbook-draw-animate/id1350671732,Art,Primary;Visual Arts,Expired
137,Murf AI,,,,,LAQ,Being Purchased
138,Musescore Music Sheet,,,,,Performing Arts,Being Purchased
139,Musical Futures,,,,,Performing Arts,Active (Purchased)
140,MusicPlay,,,,,Primary,Being Purchased
141,Myimath,,,,,Mathematics,Active (Purchased)
142,New York Times FULL access,,,,,Secondary Library,Active (Purchased)
143,Newsela,,,,,Primary Library,Being Purchased
144,Noodle Tools,,,,,Primary Library,Being Purchased
145,Noodle Tools,,,,,Secondary Library,Active (Purchased)
146,Number Frames,A Math Learning Center tool,https://drive.google.com/thumbnail?id=1VC8yAE420XqbTSS2JL--BLxiY2qPlk6n&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/number-frames-by-mlc/id873198123,Mathematics,Primary;Mathematics,Active (Free)
147,Onform (Coach Plan),,,,,PHE,Being Purchased
148,OpenApply,,,,,Whole School,Active (Purchased)
149,Overdrive (Sora),,,,,Secondary Library,Active (Purchased)
150,Padlet,Collaboratation Board,https://drive.google.com/thumbnail?id=1qIL9vpT2TnyJ3a2QEuIaMDsGGK0RexV9&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/padlet/id834618886,UOI,Primary,Active (Purchased)
151,Padlet,,,,,Whole School,Active (Purchased)
152,Paul Hoang Answer Key for Latest Edition (5) - Business Management,,,,,I&S,Active (Purchased)
153,Philpot,,,,,L&L,Active (Purchased)
154,Pivot interactives,,,,,Science,Active (Purchased)
155,Pixton,,,,,Primary,Expired
156,Post-it,Brainstorm. Capture. Share.,https://drive.google.com/thumbnail?id=1A3cxv3VuxKm0YB7uRiQHzfOzlMzSTecj&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/post-it/id920127738,Productivity,Primary;PHE,Active (Free)
157,PowerNotes,,,,,Secondary Library,Being Purchased
158,Procreate,,,,,Visual Arts,Active (Purchased)
159,Proquest,,,,,Secondary Library,Expired
160,Puppet Pals 2,Puppet Pals is an amazing app that lets you create animated cartoons,https://drive.google.com/thumbnail?id=1oDGEc16nnsdwGGvs8etpW6m7hlv_Wng4&sz=w{{130}}-h{{130}},https://apps.apple.com/gr/app/puppet-pals-2-school-edition/id557616416,UOI,Primary,Expired
161,Q-files,,,,,Secondary Library,Expired
162,Quaver Music,,,,,Primary,Active (Purchased)
163,Question Bank: Computer Science and Design Technology Bundle,,,,,Design,Active (Purchased)
164,Quizizz,Quizzes that engage everyone,https://drive.google.com/thumbnail?id=1mqeEYmegnjjIG4hEjP44gvUMsZfIuJlZ&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/quizizz-play-to-learn/id1160249042,Quiz,Primary,Active (Free)
165,Quizzes,,,,,Primary,Being Purchased
166,Revision Village: Maths AA,,,,,Mathematics,Being Purchased
167,Revision Village: Maths AI,,,,,Mathematics,Being Purchased
168,Save My Exam,,,,,Mathematics,Being Purchased
169,Save My Exams,,,,,Science,Being Purchased
170,School Cloud,,,,,Whole School,Active (Purchased)
171,School Library Journal (SLJ),,,,,Secondary Library,Active (Purchased)
172,Scratch Jr,"With ScratchJr, young children (ages 5-7) learn important new skills as they program their own interactive stories and games.",https://drive.google.com/thumbnail?id=1Fqkx7lsCv752PJ4EwuM7j2vSgEmo7OjU&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/scratchjr/id895485086,Coding,Primary,Active (Free)
173,Seesaw,PYP Class Portfolio,https://drive.google.com/thumbnail?id=1hncaB2WDSmJvFu9yY4gdqVaskAeP5Myj&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/seesaw-class/id930565184,Management;Whiteboard,Primary,Active (Purchased)
174,Seesaw,,,,,Whole Primary,Active (Purchased)
175,Singup,,,,,Performing Arts,Being Purchased
176,Springshare: LibGuides with CMS Add-on,,,,,Secondary Library,Active (Purchased)
177,Statista,,,,,Secondary Library,Active (Purchased)
178,Stop Motion Studio Pro,,,,,Visual Arts,Active (Purchased)
179,Tayasui Sketches School,Beautiful drawing tools,https://drive.google.com/thumbnail?id=1Jvi_5Cc-7DSZdf7bJL-9acFy6OzQFOcs&sz=w{{130}}-h{{130}},https://apps.apple.com/by/app/tayasui-sketches-school/id1354087061,Art,Primary;Visual Arts,Expired
180,Teachchemistry.org,,,,,Science,Active (Purchased)
181,Teacher Starter,,,,,Primary,Expired
182,Teachers Pay Teachers,,,,,PHE,Active (Purchased)
183,teachitlanguage,,,,,LAQ,Active (Purchased)
184,The Economist.com,,,,,I&S,Active (Purchased)
185,The Guardian,,,,,L&L,Being Purchased
186,The New Yorker Magazine,,,,,Secondary Library,Expired
187,The Washington Post,,,,,L&L,Being Purchased
188,Theatre folk,,,,,Performing Arts,Active (Purchased)
189,Thinglink,"Immersive storytelling for everyone: Easily augment photos with text, audio, closeup photos, links, and video.",https://drive.google.com/thumbnail?id=1OFdyQiTcCtUvZEntZyrTEzQwZJY2bwgU&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/thinglink/id647304300,Presentation,Primary,Expired
190,thisisschool,,,,,LAQ,Active (Purchased)
191,Times of India,,,,,L&L,Being Purchased
192,TOK.net,,,,,TOK,Active (Purchased)
193,Toontastic HD,"With Toontastic 3D you can draw, animate, and narrate your own cartoons.",https://drive.google.com/thumbnail?id=1a0R1o2i5EKpP_XAFc2XInfmjU3M0xdVb&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/toontastic-3d/id1145104532,Video,Primary,Expired
194,Turnitin with AI,,,,,Secondary Library,Active (Purchased)
195,Twinkl,,,,,Primary,Active (Purchased)
196,Tynker,Tynker is the #1 Kids Coding platform! Over 60 million kids and thousands of schools use Tynker's award-winning curriculum to learn to code!,https://drive.google.com/thumbnail?id=12ijfJs-FBjhVH65bbNkLuS_GikOZBns5&sz=w{{130}}-h{{130}},https://apps.apple.com/my/app/tynker-coding-games-for-kids/id805869467,Coding,Primary,Active (Free)
197,Tynker Jr,Even pre-readers can learn to code with Tynker Junior!,https://drive.google.com/thumbnail?id=1GQ-tpTMRZnaWsSGCk0h99YI8nZrqA-DK&sz=w{{130}}-h{{130}},https://apps.apple.com/cy/app/tynker-junior/id1393933000,Coding,Primary;Early Years,Active (Free)
198,UCAS: EDT Key Statistics Auto-Renewal,,,,,College Counselor,Active (Purchased)
199,V-ideo,,,,,Visual Arts,Active (Purchased)
200,Vernier Pro version - Graphical analysis tool,,,,,PHE,Active (Purchased)
201,Vex Code VR premium,,,,,Design,Being Purchased
202,Voice Threads,,,,,LAQ,Being Purchased
203,Wet-Dry-Try Handwriting,Writing Letters & Numbers,https://drive.google.com/thumbnail?id=1NO1tDpjUJDwQr2XMz8voiaQJ6bl1JcqF&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/wet-dry-try-handwriting/id1527186072,Handwriting,Primary;Early Years,Active (Free)
204,White Rose Education,,,,,Primary,Active (Purchased)
205,WIDA Membership,,,,,Primary,Active (Purchased)
206,WIX,,,,,Whole School,Active (Purchased)
207,Wordwall,,,,,Primary,Active (Purchased)
208,Yousician,,,,,Performing Arts,Active (Purchased)

209,Zoom,"Zoom is a reliable tool for meetings with 100+ people, with built-in call recording, text chat, and screen sharing. It even scales video quality to avoid dropped calls.",https://drive.google.com/thumbnail?id=1dBDdXTR00FVYoUn9gQPMLnBVTrBHWG-z&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/zoom-cloud-meetings/id546505307,Video,Whole School,Expired
